Identifiant arc,Date et heure de comptage,Débit horaire,Taux d'occupation
5671,2016-01-01 01:00:00,243.0,3.03
5671,2016-01-01 02:00:00,354.0,3.99833
5671,2016-01-01 03:00:00,386.0,4.495
5671,2016-01-01 04:00:00,309.0,3.63556
5671,2016-01-01 05:00:00,291.0,3.16945
5671,2016-01-01 06:00:00,214.0,2.36556
5671,2016-01-01 07:00:00,120.0,1.27167
5671,2016-01-01 08:00:00,89.0,1.1672200000000001
5671,2016-01-01 09:00:00,52.0,0.69722
5671,2016-01-01 10:00:00,86.0,1.15
5671,2016-01-01 11:00:00,126.0,1.45556
5671,2016-01-01 12:00:00,190.0,2.29667
5671,2016-01-01 13:00:00,228.0,2.77389
5671,2016-01-01 14:00:00,227.0,2.43222
5671,2016-01-01 15:00:00,235.0,2.59278
5671,2016-01-01 16:00:00,271.0,3.05556
5671,2016-01-01 17:00:00,325.0,4.35222
5671,2016-01-01 18:00:00,333.0,4.26389
5671,2016-01-01 19:00:00,507.0,7.52889
5671,2016-01-01 20:00:00,318.0,3.89667
5671,2016-01-01 21:00:00,264.0,2.91778
5671,2016-01-01 22:00:00,196.0,2.29278
5671,2016-01-01 23:00:00,166.0,1.87389
5671,2016-01-02 00:00:00,166.0,1.795
5671,2016-01-02 01:00:00,111.0,1.19222
5671,2016-01-02 02:00:00,61.0,0.60834
5671,2016-01-02 03:00:00,63.0,0.68389
5671,2016-01-02 04:00:00,34.0,0.36722
5671,2016-01-02 05:00:00,36.0,0.37834
5671,2016-01-02 06:00:00,42.0,0.42611000000000004
5671,2016-01-02 07:00:00,68.0,0.9372299999999999
5671,2016-01-02 08:00:00,72.0,0.51944
5671,2016-01-02 09:00:00,117.0,0.7633300000000001
5671,2016-01-02 10:00:00,159.0,1.41667
5671,2016-01-02 11:00:00,225.0,2.27278
5671,2016-01-02 12:00:00,316.0,3.7333300000000005
5671,2016-01-02 13:00:00,345.0,4.04833
5671,2016-01-02 14:00:00,344.0,3.80389
5671,2016-01-02 15:00:00,398.0,4.61889
5671,2016-01-02 16:00:00,429.0,5.97278
5671,2016-01-02 17:00:00,454.0,6.24334
5671,2016-01-02 18:00:00,426.0,6.08945
5671,2016-01-02 19:00:00,450.0,6.17111
5671,2016-01-02 20:00:00,437.0,5.795
5671,2016-01-02 21:00:00,375.0,4.85278
5671,2016-01-02 22:00:00,287.0,3.38556
5671,2016-01-02 23:00:00,233.0,2.97723
5671,2016-01-03 00:00:00,223.0,2.69889
5671,2016-01-03 01:00:00,211.0,2.37056
5671,2016-01-03 02:00:00,140.0,1.40667
5671,2016-01-03 03:00:00,118.0,1.31445
