Identifiant arc,Date et heure de comptage,Débit horaire,Taux d'occupation
191,2017-01-01 01:00:00,568.0,7.68611
191,2017-01-01 02:00:00,684.0,8.41445
191,2017-01-01 03:00:00,538.0,6.22222
191,2017-01-01 04:00:00,452.0,5.31
191,2017-01-01 05:00:00,392.0,4.3638900000000005
191,2017-01-01 06:00:00,296.0,3.3916699999999995
191,2017-01-01 07:00:00,192.0,2.31278
191,2017-01-01 08:00:00,152.0,1.92222
191,2017-01-01 09:00:00,112.0,1.54722
191,2017-01-01 10:00:00,133.0,1.75111
191,2017-01-01 11:00:00,206.0,2.75611
191,2017-01-01 12:00:00,258.0,3.5372199999999996
191,2017-01-01 13:00:00,360.0,4.8605599999999995
191,2017-01-01 14:00:00,353.0,4.59445
191,2017-01-01 15:00:00,393.0,5.09778
191,2017-01-01 16:00:00,456.0,5.93889
191,2017-01-01 17:00:00,525.0,6.52834
191,2017-01-01 18:00:00,516.0,6.27056
191,2017-01-01 19:00:00,502.0,6.46445
191,2017-01-01 20:00:00,499.0,6.3122300000000005
191,2017-01-01 21:00:00,445.0,5.4888900000000005
191,2017-01-01 22:00:00,376.0,4.73389
191,2017-01-01 23:00:00,311.0,3.56722
191,2017-01-02 00:00:00,292.0,3.44389
191,2017-01-02 01:00:00,209.0,2.52334
191,2017-01-02 02:00:00,105.0,1.325
191,2017-01-02 03:00:00,65.0,0.83278
191,2017-01-02 04:00:00,41.0,0.57
191,2017-01-02 05:00:00,50.0,0.72945
191,2017-01-02 06:00:00,74.0,0.85667
191,2017-01-02 07:00:00,211.0,2.51389
191,2017-01-02 08:00:00,321.0,4.53167
191,2017-01-02 09:00:00,427.0,5.39278
191,2017-01-02 10:00:00,487.0,5.60444
191,2017-01-02 11:00:00,507.0,6.755560000000001
191,2017-01-02 12:00:00,643.0,10.3667
191,2017-01-02 13:00:00,544.0,7.88722
191,2017-01-02 14:00:00,519.0,6.87555
191,2017-01-02 15:00:00,558.0,8.619439999999999
191,2017-01-02 16:00:00,591.0,8.07056
191,2017-01-02 17:00:00,570.0,7.57723
191,2017-01-02 18:00:00,559.0,8.176110000000001
191,2017-01-02 19:00:00,609.0,7.5566699999999996
191,2017-01-02 20:00:00,586.0,7.84
191,2017-01-02 21:00:00,494.0,5.71445
191,2017-01-02 22:00:00,347.0,4.17556
191,2017-01-02 23:00:00,318.0,3.85722
191,2017-01-03 00:00:00,276.0,3.44945
191,2017-01-03 01:00:00,222.0,2.70222
191,2017-01-03 02:00:00,133.0,1.7355599999999998
191,2017-01-03 03:00:00,93.0,1.17667
191,2017-01-03 04:00:00,47.0,0.6188899999999999
191,2017-01-03 05:00:00,45.0,0.59722
