Identifiant arc,Date et heure de comptage,Débit horaire,Taux d'occupation
4264,2019-01-01 01:00:00,1.0,0.0
4264,2019-01-01 02:00:00,44.0,1.78722
4264,2019-01-01 03:00:00,260.0,5.57611
4264,2019-01-01 04:00:00,790.0,5.3583300000000005
4264,2019-01-01 05:00:00,773.0,5.33555
4264,2019-01-01 06:00:00,601.0,3.4722199999999996
4264,2019-01-01 07:00:00,543.0,3.005
4264,2019-01-01 08:00:00,395.0,2.2488900000000003
4264,2019-01-01 09:00:00,313.0,2.1261099999999997
4264,2019-01-01 10:00:00,381.0,3.2488900000000003
4264,2019-01-01 11:00:00,478.0,3.5822300000000005
4264,2019-01-01 12:00:00,759.0,5.49222
4264,2019-01-01 13:00:00,911.0,6.31945
4264,2019-01-01 14:00:00,1048.0,6.848330000000001
4264,2019-01-01 15:00:00,1120.0,6.606669999999999
4264,2019-01-01 16:00:00,1183.0,7.813339999999999
4264,2019-01-01 17:00:00,1173.0,7.03056
4264,2019-01-01 18:00:00,1229.0,10.2633
4264,2019-01-01 19:00:00,1269.0,12.2406
4264,2019-01-01 20:00:00,1040.0,8.344439999999999
4264,2019-01-01 21:00:00,1040.0,8.74945
4264,2019-01-01 22:00:00,1014.0,8.178339999999999
4264,2019-01-01 23:00:00,961.0,7.30333
4264,2019-01-02 00:00:00,790.0,5.1955599999999995
4264,2019-01-02 01:00:00,581.0,3.92889
4264,2019-01-02 02:00:00,381.0,2.69
4264,2019-01-02 03:00:00,268.0,1.80889
4264,2019-01-02 04:00:00,162.0,1.05556
4264,2019-01-02 05:00:00,160.0,1.12667
4264,2019-01-02 06:00:00,271.0,1.52389
4264,2019-01-02 07:00:00,591.0,3.34945
4264,2019-01-02 08:00:00,904.0,4.37889
4264,2019-01-02 09:00:00,1066.0,5.28333
4264,2019-01-02 10:00:00,1182.0,5.76278
4264,2019-01-02 11:00:00,1166.0,6.928889999999999
4264,2019-01-02 12:00:00,1186.0,6.13056
4264,2019-01-02 13:00:00,1218.0,6.94667
4264,2019-01-02 14:00:00,1100.0,6.706110000000001
4264,2019-01-02 15:00:00,1285.0,7.571110000000001
4264,2019-01-02 16:00:00,1244.0,7.47222
4264,2019-01-02 17:00:00,1145.0,6.87056
4264,2019-01-02 18:00:00,1100.0,7.32556
4264,2019-01-02 19:00:00,1188.0,7.56278
4264,2019-01-02 20:00:00,1116.0,7.115
4264,2019-01-02 21:00:00,1056.0,7.07722
4264,2019-01-02 22:00:00,995.0,7.643330000000001
4264,2019-01-02 23:00:00,1020.0,7.03055
4264,2019-01-03 00:00:00,991.0,6.7038899999999995
4264,2019-01-03 01:00:00,718.0,4.94444
4264,2019-01-03 02:00:00,482.0,3.69945
4264,2019-01-03 03:00:00,305.0,2.0016700000000003
4264,2019-01-03 04:00:00,260.0,1.9855599999999998
4264,2019-01-03 05:00:00,183.0,1.36556
4264,2019-01-03 06:00:00,313.0,1.97445
4264,2019-01-03 07:00:00,649.0,3.8305599999999997
4264,2019-01-03 08:00:00,1024.0,4.9977800000000006
4264,2019-01-03 09:00:00,1157.0,4.90056
4264,2019-01-03 10:00:00,1346.0,6.37611
4264,2019-01-03 11:00:00,1221.0,7.02778
4264,2019-01-03 12:00:00,1259.0,6.51389
4264,2019-01-03 13:00:00,1280.0,7.204439999999999
4264,2019-01-03 14:00:00,1188.0,6.563339999999999
4264,2019-01-03 15:00:00,1245.0,6.89445
4264,2019-01-03 16:00:00,1234.0,6.29778
4264,2019-01-03 17:00:00,1228.0,6.906110000000001
4264,2019-01-03 18:00:00,1224.0,8.16722
4264,2019-01-03 19:00:00,1259.0,7.3322199999999995
4264,2019-01-03 20:00:00,,
4264,2019-01-03 21:00:00,1075.0,6.67167
4264,2019-01-03 22:00:00,1047.0,7.10889
4264,2019-01-03 23:00:00,1025.0,7.39445
4264,2019-01-04 00:00:00,949.0,6.43722
4264,2019-01-04 01:00:00,768.0,4.90944
4264,2019-01-04 02:00:00,550.0,3.9866699999999997
4264,2019-01-04 03:00:00,397.0,2.6455599999999997
4264,2019-01-04 04:00:00,256.0,1.56056
4264,2019-01-04 05:00:00,239.0,1.7144400000000002
4264,2019-01-04 06:00:00,357.0,2.1833299999999998
4264,2019-01-04 07:00:00,588.0,3.49445
4264,2019-01-04 08:00:00,995.0,5.356669999999999
4264,2019-01-04 09:00:00,1200.0,5.85944
4264,2019-01-04 10:00:00,1334.0,6.9538899999999995
4264,2019-01-04 11:00:00,1325.0,6.07722
4264,2019-01-04 12:00:00,1107.0,6.16555
4264,2019-01-04 13:00:00,1348.0,6.20889
4264,2019-01-04 14:00:00,1209.0,6.91445
4264,2019-01-04 15:00:00,1336.0,6.69889
4264,2019-01-04 16:00:00,1237.0,6.45889
4264,2019-01-04 17:00:00,1246.0,7.97222
4264,2019-01-04 18:00:00,1270.0,7.156110000000001
4264,2019-01-04 19:00:00,1231.0,6.74055
4264,2019-01-04 20:00:00,1279.0,7.60778
4264,2019-01-04 21:00:00,1134.0,7.04778
4264,2019-01-04 22:00:00,1049.0,6.58167
4264,2019-01-04 23:00:00,1038.0,6.9005600000000005
4264,2019-01-05 00:00:00,1087.0,6.6188899999999995
4264,2019-01-05 01:00:00,1039.0,6.11611
4264,2019-01-05 02:00:00,811.0,4.58611
4264,2019-01-05 03:00:00,636.0,3.7022199999999996
4264,2019-01-05 04:00:00,548.0,3.51111
4264,2019-01-05 05:00:00,387.0,2.32611
4264,2019-01-05 06:00:00,380.0,2.68722
4264,2019-01-05 07:00:00,324.0,2.3077799999999997
4264,2019-01-05 08:00:00,332.0,2.14167
4264,2019-01-05 09:00:00,401.0,2.66167
4264,2019-01-05 10:00:00,537.0,3.24556
4264,2019-01-05 11:00:00,731.0,4.231669999999999
4264,2019-01-05 12:00:00,486.0,2.8561099999999997
4264,2019-01-05 13:00:00,821.0,4.3772199999999994
4264,2019-01-05 14:00:00,779.0,4.02444
4264,2019-01-05 15:00:00,845.0,4.67056
4264,2019-01-05 16:00:00,822.0,4.69667
4264,2019-01-05 17:00:00,844.0,4.78945
4264,2019-01-05 18:00:00,264.0,2.64833
4264,2019-01-05 19:00:00,123.0,8.110560000000001
4264,2019-01-05 20:00:00,577.0,5.48278
4264,2019-01-05 21:00:00,1024.0,6.11444
4264,2019-01-05 22:00:00,1071.0,6.348330000000001
4264,2019-01-05 23:00:00,1030.0,7.53167
4264,2019-01-06 00:00:00,1092.0,7.03
4264,2019-01-06 01:00:00,982.0,6.162780000000001
4264,2019-01-06 02:00:00,904.0,5.59278
4264,2019-01-06 03:00:00,852.0,5.435
4264,2019-01-06 04:00:00,630.0,3.88
4264,2019-01-06 05:00:00,467.0,2.83223
4264,2019-01-06 06:00:00,433.0,2.4361099999999998
4264,2019-01-06 07:00:00,369.0,2.20167
4264,2019-01-06 08:00:00,355.0,2.11389
4264,2019-01-06 09:00:00,406.0,1.9666700000000001
4264,2019-01-06 10:00:00,608.0,2.86333
4264,2019-01-06 11:00:00,49.0,0.16722
4264,2019-01-06 12:00:00,8.0,0.055560000000000005
4264,2019-01-06 13:00:00,14.0,0.03778
4264,2019-01-06 14:00:00,21.0,0.05832999999999999
4264,2019-01-06 15:00:00,9.0,0.02667
4264,2019-01-06 16:00:00,24.0,0.03333
4264,2019-01-06 17:00:00,193.0,1.1522299999999999
4264,2019-01-06 18:00:00,1038.0,7.15
4264,2019-01-06 19:00:00,1099.0,7.545560000000001
4264,2019-01-06 20:00:00,1097.0,7.10278
4264,2019-01-06 21:00:00,961.0,6.335
4264,2019-01-06 22:00:00,864.0,5.31945
4264,2019-01-06 23:00:00,800.0,5.11445
4264,2019-01-07 00:00:00,645.0,4.44611
4264,2019-01-07 01:00:00,434.0,3.135
4264,2019-01-07 02:00:00,373.0,2.4811099999999997
4264,2019-01-07 03:00:00,242.0,1.64333
4264,2019-01-07 04:00:00,161.0,0.88945
4264,2019-01-07 05:00:00,153.0,1.20889
4264,2019-01-07 06:00:00,339.0,2.27945
4264,2019-01-07 07:00:00,718.0,3.94389
4264,2019-01-07 08:00:00,1189.0,5.98334
4264,2019-01-07 09:00:00,1318.0,20.0167
4264,2019-01-07 10:00:00,1326.0,6.71833
4264,2019-01-07 11:00:00,1274.0,6.626110000000001
4264,2019-01-07 12:00:00,1185.0,6.621110000000001
4264,2019-01-07 13:00:00,1232.0,6.98
4264,2019-01-07 14:00:00,1175.0,6.54333
4264,2019-01-07 15:00:00,1183.0,6.89611
4264,2019-01-07 16:00:00,1247.0,7.098889999999999
4264,2019-01-07 17:00:00,1156.0,7.115
4264,2019-01-07 18:00:00,1177.0,6.17389
4264,2019-01-07 19:00:00,1327.0,7.05611
4264,2019-01-07 20:00:00,1200.0,6.31056
4264,2019-01-07 21:00:00,1060.0,6.13778
4264,2019-01-07 22:00:00,778.0,4.48222
4264,2019-01-07 23:00:00,663.0,3.9066699999999996
4264,2019-01-08 00:00:00,596.0,4.0427800000000005
4264,2019-01-08 01:00:00,462.0,3.39833
4264,2019-01-08 02:00:00,316.0,2.68111
4264,2019-01-08 03:00:00,240.0,2.2705599999999997
4264,2019-01-08 04:00:00,200.0,1.4238899999999999
4264,2019-01-08 05:00:00,168.0,1.5333299999999999
4264,2019-01-08 06:00:00,321.0,2.0805599999999997
4264,2019-01-08 07:00:00,757.0,5.02556
4264,2019-01-08 08:00:00,1162.0,7.14445
4264,2019-01-08 09:00:00,1139.0,5.94667
4264,2019-01-08 10:00:00,1218.0,6.993339999999999
4264,2019-01-08 11:00:00,1236.0,7.12555
4264,2019-01-08 12:00:00,1134.0,6.092230000000001
4264,2019-01-08 13:00:00,1108.0,7.06
4264,2019-01-08 14:00:00,1130.0,6.61222
4264,2019-01-08 15:00:00,1129.0,7.4766699999999995
4264,2019-01-08 16:00:00,1152.0,8.418339999999999
4264,2019-01-08 17:00:00,1054.0,6.52611
